"","DIGNIDAD_CODIGO","OP_CODIGO","CANDIDATO_CODIGO","CANDIDATO_ORDEN","CANDIDATO_PROVINCIA_CODIGO","CANDIDATO_CANTON_CODIGO","CANDIDATO_PARROQUIA_CODIGO","CANDIDATO_NOMBRE","CANDIDATO_SEXO","CANDIDATO_EDAD_EXACTA","CANDIDATO_GRUPOS_DE_EDAD","SUPLENTE_NOMBRE","SUPLENTE_SEXO","SUPLENTE_EDAD_EXACTA","SUPLENTE_GRUPOS_DE_EDAD"
"1938",7,106,7170000000092,8,17,0,0,"VILLACIS RIVERA GINA MARGOTH                                                                        ","MUJERES",40.9205479452055,"DE 30 A MENOS DE 45 AÑOS","FIERRO YANEZ MARCIA GUADALUPE                                                                       ","MUJERES",42.2657534246575,"DE 30 A MENOS DE 45 AÑOS"
"1939",7,106,7170000000093,9,17,0,0,"ORTEGA CAICEDO WILSON GUILLERMO                                                                     ","HOMBRES",27.6994535519126,"MENOS DE 30 AÑOS","BALDEON BAQUERO EDWIN ROLANDO                                                                       ","HOMBRES",34.0219178082192,"DE 30 A MENOS DE 45 AÑOS"
"1940",7,106,7170000000094,10,17,0,0,"AMAQUIÑA MASABANDA MONICA ELIZABETH                                                                ","MUJERES",28.2684931506849,"MENOS DE 30 AÑOS","ECHEVERRIA ANDRADE PATRICIA DE LAS MERCEDES                                                         ","MUJERES",26.1068493150685,"MENOS DE 30 AÑOS"
"1941",7,106,7170000000095,11,17,0,0,"VERA MERIZALDE GERARDO FRANCISCO DE ASIS                                                            ","HOMBRES",58.0356164383562,"DE 45 A MENOS DE 65 AÑOS","TORRES DURAN GUIDO CARLOS                                                                           ","HOMBRES",42.3424657534247,"DE 30 A MENOS DE 45 AÑOS"
"1942",7,106,7170000000096,12,17,0,0,"VALLADARES HELENO YADIRA VIVIANA                                                                    ","MUJERES",24.5534246575342,"MENOS DE 30 AÑOS","MUÑOZ ANDRADE MAYRA FERNANDA                                                                       ","MUJERES",24.3369863013699,"MENOS DE 30 AÑOS"
"1943",7,106,7170000000097,13,17,0,0,"MORAN VALENCIA JORGE FERNANDO                                                                       ","HOMBRES",51.2185792349727,"DE 45 A MENOS DE 65 AÑOS","CHIMBO GUILLEN MAURO ALEXIS                                                                         ","HOMBRES",30.641095890411,"DE 30 A MENOS DE 45 AÑOS"
"1944",7,106,7170000000098,14,17,0,0,"AGUILAR BUCHELI BLANCA FABIOLA                                                                      ","MUJERES",67.551912568306,"DE 65 AÑOS Y MÁS","DE LA CRUZ PACHACAMA   MARTHA ROCIO                                                                 ","MUJERES",45.7095890410959,"DE 45 A MENOS DE 65 AÑOS"
"1945",7,8,7170000000099,1,17,0,0,"ISCH LOPEZ EDGAR EFRAIN                                                                             ","HOMBRES",45.4191780821918,"DE 45 A MENOS DE 65 AÑOS","ROJAS PILAQUINGA NATASHA SASHENKA                                                                   ","MUJERES",32.6630136986301,"DE 30 A MENOS DE 45 AÑOS"
"1946",7,8,7170000000100,2,17,0,0,"BAÑO NARVAEZ NORMA XIMENA                                                                          ","MUJERES",40.9917808219178,"DE 30 A MENOS DE 45 AÑOS","BORJA VIVERO JUAN FERNANDO                                                                          ","HOMBRES",43.7185792349727,"DE 30 A MENOS DE 45 AÑOS"
"1947",7,8,7170000000101,3,17,0,0,"ROJAS AVILES HECTOR FRANCISCO                                                                       ","HOMBRES",46.8934426229508,"DE 45 A MENOS DE 65 AÑOS","PONCE CACAO CARMEN BLANCA                                                                           ","MUJERES",55.2868852459016,"DE 45 A MENOS DE 65 AÑOS"
