"","OP_CODIGO","OP_PROVINCIA_CODIGO","OP_CANTON_CODIGO","OP_PARROQUIA_CODIGO","OP_TIPO","OP_AMBITO","OP_NOMBRE","OP_SIGLAS","OP_LISTA"
"95",80000000201,8,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA UNIDAD ESMERALDEÑA                                                                                                                                                                             ","DP-UDC/MIN                                        ","5-30      "
"96",85700000202,8,570,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA IZQUIERDA DEMOCRATICA / DEMOCRACIA POPULAR - UNION DEMOCRATA CRISTIANA                                                                                                                          ","ID /DP-UDC                                        ","12-5      "
"97",90000000043,9,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO INDEPENDIENTE NUEVO HORIZONTE                                                                                                                                                                ","MNH                                               ","43        "
"98",90000000044,9,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","ALIANZA POLITICA INDEPENDIENTE ECUATORIANA                                                                                                                                                              ","APIE                                              ","44        "
"99",90000000048,9,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","UNION DEMOCRATA CRISTIANA                                                                                                                                                                               ","UDC                                               ","48        "
"100",90950000050,9,95,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEPENDIENTE PROGRESISTA BALOENSE                                                                                                                                                           ","MPB                                               ","50        "
"101",94250000201,9,425,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA DEMOCRACIA POPULAR-UNION DEMOCRATA CRISTIANA/SOCIALISTA FRENTE AMPLIO                                                                                                                           ","DP-UDC/PS-FA                                      ","5-17      "
"102",94300000202,9,430,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA CONCENTRACION DE FUERZAS POPULARES/MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK-NUEVO PAIS                                                                                                        ","CFP/MUPP-NP                                       ","4-18      "
"103",100000000201,10,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA UNION NACIONAL - UNO / DEMOCRACIA POPULAR - UNION DEMOCRATA CRISTIANA                                                                                                                           ","UN - UNO/DP-UDC                                   ","1-5       "
"104",100000000202,10,0,0,"ALIANZAS                                          ","ALIANZA                                           ","UNIDAD PATRIOTICA POPULAR                                                                                                                                                                               ","PSP/MPD                                           ","3-15      "
